Day,ID,numGerm,percGerm,2014,2015
3,TB_setaria_12_0368,15,0.75,1000+,1000+
5,TB_setaria_12_0381,18,0.9,1000+,
5,TB_setaria_12_0407,16,0.8,1000+,500+
2,TB_setaria_12_0409,17,0.85,1000+,500+
2,TB_setaria_12_0411,18,0.9,1000+,100+
3,TB_setaria_12_0412,13,0.65,,500+
5,TB_setaria_12_0418,19,0.95,,500+
4,TB_setaria_12_0420,18,0.9,1000+,1000+
4,TB_setaria_12_0428,15,0.75,500+,500+
3,TB_setaria_12_0429,19,0.95,1000+,500+
3,TB_setaria_12_0433,14,0.7,1000+,500+
2,TB_setaria_12_0434,16,0.8,1000+,1000+
4,TB_setaria_12_0435,4,0.2,1000+,500+
5,TB_setaria_12_0441,16,0.8,1000+,100+
3,TB_setaria_12_0444,19,0.95,,500+
5,TB_setaria_12_0446,15,0.75,1000+,1000+
4,TB_setaria_12_0447,19,0.95,1000+,1000+
5,TB_setaria_12_0449,5,0.25,1000+,500+
3,TB_setaria_12_0450,2,0.1,1000+,
5,TB_setaria_12_0453,12,0.6,1000+,1000+
5,TB_setaria_12_0455,11,0.55,1000+,
4,TB_setaria_12_0456,5,0.25,1000+,1000+
4,TB_setaria_12_0460,14,0.7,1000+,1000+
5,TB_setaria_12_0469,8,0.4,500+,1000+
3,TB_setaria_12_0475,17,0.85,1000+,1000+
4,TB_setaria_12_0477,13,0.65,1000+,1000+
5,TB_setaria_12_0478,11,0.55,500+,500+
4,TB_setaria_12_0487,19,0.95,1000+,1000+
3,TB_setaria_12_0488,17,0.85,1000+,1000+
3,TB_setaria_12_0490,9,0.45,1000+,
3,TB_setaria_12_0491,14,0.7,1000+,
4,TB_setaria_12_0492,16,0.8,1000+,500+
4,TB_setaria_12_0495,12,0.6,1000+,
4,TB_setaria_12_0496,8,0.4,1000+,1000+
5,TB_setaria_12_0498,4,0.2,1000+,
2,TB_setaria_12_0499,7,0.35,1000+,500+
4,TB_setaria_12_0501,10,0.5,1000+,500+
5,TB_setaria_12_0508,17,0.85,1000+,1000+
3,TB_setaria_12_0511,4,0.2,1000+,1000+
3,TB_setaria_12_0512,15,0.75,1000+,500+
3,TB_setaria_12_0513,9,0.45,1000+,1000+
5,TB_setaria_12_0529,7,0.35,500+,1000+
3,TB_setaria_12_0530,15,0.75,,1000+
3,TB_setaria_12_0531,14,0.7,,500+
3,TB_setaria_12_0534,7,0.35,,500+
4,TB_setaria_12_0544,11,0.55,,1000+
5,TB_setaria_12_0546,11,0.55,1000+,1000+
4,TB_setaria_12_0549,19,0.95,,500+
4,TB_setaria_12_0550,15,0.75,,500+
5,TB_setaria_12_0551,17,0.85,1000+,
5,TB_setaria_12_0554,9,0.45,,1000+
3,TB_setaria_12_0555,12,0.6,1000+,1000+
3,TB_setaria_12_0558,18,0.9,500+,
2,TB_setaria_12_0559,2,0.1,1000+,1000+
2,TB_setaria_12_0560,11,0.55,,500+
5,TB_setaria_12_0564,19,0.95,1000+,1000+
4,TB_setaria_12_0569,3,0.15,1000+,1000+
2,TB_setaria_12_0572,3,0.15,,500+
3,TB_setaria_12_0577,11,0.55,,1000+
5,TB_setaria_12_0580,16,0.8,1000+,1000+
5,TB_setaria_12_0582,15,0.75,1000+,1000+
5,TB_setaria_12_0586,15,0.75,1000+,500+
3,TB_setaria_12_0590,15,0.75,,500+
5,TB_setaria_12_0593,16,0.8,,500+
4,TB_setaria_12_0594,16,0.8,,5 x 1000+
5,TB_setaria_12_0597,9,0.45,,1000+
3,TB_setaria_12_0604,18,0.9,,1000+
3,TB_setaria_12_0605,17,0.85,,1000+
5,TB_setaria_12_0606,16,0.8,,500+
2,TB_setaria_12_0610,13,0.65,,1000+
3,TB_setaria_12_0611,15,0.75,,500+
4,TB_setaria_12_0638,3,0.15,,500+
5,TB_setaria_12_0641,7,0.35,,1000+
