"clump","chrom","minBP","maxBP","variable","value","fisherLogP","Phenotype","DAP","Treatment","clumpCenter","Experiment"
35460,4,17726154,18210418,"area.over.water_dry.over.wet_11_fisherPclump",2.56684083527416e-07,6.59060106023593,"area.over.water",11,"dry.over.wet",17968286,"IB003toIB004"
35518,4,26992539,27435506,"area.over.water_dry.over.wet_11_fisherPclump",3.20275964775041e-06,5.49447565189889,"area.over.water",11,"dry.over.wet",27214022,"IB003toIB004"
35721,4,15376874,15620505,"area.over.water_dry.over.wet_11_fisherPclump",5.83346194599292e-06,5.23407363086435,"area.over.water",11,"dry.over.wet",15498690,"IB003toIB004"
36003,4,15300699,15798377,"area.over.water_dry.over.wet_11_fisherPclump",9.73485763300584e-06,5.01167039541792,"area.over.water",11,"dry.over.wet",15549538,"IB003toIB004"
44711,5,37455227,37896854,"area.over.water_dry.over.wet_11_fisherPclump",3.53530051068009e-06,5.45157366402179,"area.over.water",11,"dry.over.wet",37676040,"IB003toIB004"
44803,5,33657223,33996943,"area.over.water_dry.over.wet_11_fisherPclump",9.76415555628914e-06,5.01036531029747,"area.over.water",11,"dry.over.wet",33827083,"IB003toIB004"
44887,5,33877070,33878874,"area.over.water_dry.over.wet_11_fisherPclump",9.93970556182252e-06,5.00262648026764,"area.over.water",11,"dry.over.wet",33877972,"IB003toIB004"
45129,5,33278920,33762073,"area.over.water_dry.over.wet_11_fisherPclump",2.73063151677152e-06,5.56373690148235,"area.over.water",11,"dry.over.wet",33520496,"IB003toIB004"
45442,5,33796043,34255394,"area.over.water_dry.over.wet_11_fisherPclump",5.87044301287015e-07,6.23132912349087,"area.over.water",11,"dry.over.wet",34025718,"IB003toIB004"
45462,5,38133133,38587420,"area.over.water_dry.over.wet_11_fisherPclump",3.67660163109144e-06,5.43455342446658,"area.over.water",11,"dry.over.wet",38360276,"IB003toIB004"
45845,5,31593607,31623086,"area.over.water_dry.over.wet_11_fisherPclump",5.0434087354294e-06,5.29727583367543,"area.over.water",11,"dry.over.wet",31608346,"IB003toIB004"
47017,5,32588950,33074470,"area.over.water_dry.over.wet_11_fisherPclump",6.76230576194764e-06,5.16990519622561,"area.over.water",11,"dry.over.wet",32831710,"IB003toIB004"
47742,5,10466839,10812671,"area.over.water_dry.over.wet_11_fisherPclump",4.23947335141345e-06,5.37268809028954,"area.over.water",11,"dry.over.wet",10639755,"IB003toIB004"
48935,5,45587060,45601768,"area.over.water_dry.over.wet_11_fisherPclump",6.04183531526886e-06,5.21883111664048,"area.over.water",11,"dry.over.wet",45594414,"IB003toIB004"
61290,6,489759,556484,"area.over.water_dry.over.wet_11_fisherPclump",9.67674792350342e-06,5.01427057204875,"area.over.water",11,"dry.over.wet",523122,"IB003toIB004"
87172,9,48282632,48697479,"area.over.water_dry.over.wet_11_fisherPclump",2.58962339993687e-06,5.58676338928607,"area.over.water",11,"dry.over.wet",48490056,"IB003toIB004"
35835,4,37315394,37608373,"area.over.water_wet_11_fisherPclump",6.0916945464436e-06,5.21526188145547,"area.over.water",11,"wet",37461884,"IB003toIB004"
57835,6,2396795,2406251,"area.over.water_wet_11_fisherPclump",1.98178777797119e-07,6.70294285428605,"area.over.water",11,"wet",2401523,"IB003toIB004"
58392,6,2856426,2856694,"area.over.water_wet_11_fisherPclump",5.23942539502045e-06,5.2807163392482,"area.over.water",11,"wet",2856560,"IB003toIB004"
64109,7,28832272,28834779,"area.over.water_wet_11_fisherPclump",7.34519382308498e-06,5.13399673967146,"area.over.water",11,"wet",28833526,"IB003toIB004"
64113,7,26784935,27252173,"area.over.water_wet_11_fisherPclump",5.85522765576516e-06,5.23245621455908,"area.over.water",11,"wet",27018554,"IB003toIB004"
64267,7,28152222,28269526,"area.over.water_wet_11_fisherPclump",7.8557445235967e-06,5.10481264866769,"area.over.water",11,"wet",28210874,"IB003toIB004"
64293,7,27160564,27306235,"area.over.water_wet_11_fisherPclump",7.18921114485188e-06,5.14331876110992,"area.over.water",11,"wet",27233400,"IB003toIB004"
64314,7,26760726,26764893,"area.over.water_wet_11_fisherPclump",5.99660407415619e-07,6.22209462451315,"area.over.water",11,"wet",26762810,"IB003toIB004"
64442,7,26763254,26765944,"area.over.water_wet_11_fisherPclump",6.46793493046208e-06,5.18923435788799,"area.over.water",11,"wet",26764599,"IB003toIB004"
64480,7,26711550,26930789,"area.over.water_wet_11_fisherPclump",1.14750261692342e-06,5.94024631536447,"area.over.water",11,"wet",26821170,"IB003toIB004"
64503,7,1240229,1302223,"area.over.water_wet_11_fisherPclump",5.06540755481436e-06,5.29538560623929,"area.over.water",11,"wet",1271226,"IB003toIB004"
67057,7,2672072,2672086,"area.over.water_wet_11_fisherPclump",1.17397131257064e-06,5.93034251547724,"area.over.water",11,"wet",2672079,"IB003toIB004"
71107,7,2674988,2675212,"area.over.water_wet_11_fisherPclump",9.06986051594488e-06,5.04239939183971,"area.over.water",11,"wet",2675100,"IB003toIB004"
72217,7,2617715,2617715,"area.over.water_wet_11_fisherPclump",3.64473618911887e-06,5.43833390102399,"area.over.water",11,"wet",2617715,"IB003toIB004"
75772,8,29834154,29834184,"area.over.water_wet_11_fisherPclump",7.30377201698458e-06,5.13645279151303,"area.over.water",11,"wet",29834169,"IB003toIB004"
94487,9,36774049,36774049,"area.over.water_wet_11_fisherPclump",5.91564196736205e-06,5.22799811870224,"area.over.water",11,"wet",36774049,"IB003toIB004"
10638,2,26646853,27034017,"area.over.water_dry_12_fisherPclump",5.95015451355699e-06,5.22547175636996,"area.over.water",12,"dry",26840435,"IB003toIB004"
12432,2,25977692,25992596,"area.over.water_dry_12_fisherPclump",8.27743621838851e-06,5.08210415701004,"area.over.water",12,"dry",25985144,"IB003toIB004"
23204,3,16382949,16592487,"area.over.water_dry_12_fisherPclump",3.83793579942088e-06,5.41590229437138,"area.over.water",12,"dry",16487718,"IB003toIB004"
34619,4,9988176,10309778,"area.over.water_dry_12_fisherPclump",4.32109852875705e-06,5.36440583088672,"area.over.water",12,"dry",10148977,"IB003toIB004"
34962,4,10264650,10302829,"area.over.water_dry_12_fisherPclump",4.69658627037192e-06,5.32821769581173,"area.over.water",12,"dry",10283740,"IB003toIB004"
35622,4,10263274,10306179,"area.over.water_dry_12_fisherPclump",1.93816761984117e-06,5.71260866628209,"area.over.water",12,"dry",10284726,"IB003toIB004"
35708,4,10487454,10739930,"area.over.water_dry_12_fisherPclump",6.13041601866169e-06,5.21251005264658,"area.over.water",12,"dry",10613692,"IB003toIB004"
36086,4,29754681,29755236,"area.over.water_dry_12_fisherPclump",7.70178973181369e-06,5.11340834231671,"area.over.water",12,"dry",29754958,"IB003toIB004"
36309,4,21323279,21817207,"area.over.water_dry_12_fisherPclump",7.95689593001863e-07,6.09925632213425,"area.over.water",12,"dry",21570243,"IB003toIB004"
36516,4,29721085,29820455,"area.over.water_dry_12_fisherPclump",2.50503290213292e-06,5.60118656555684,"area.over.water",12,"dry",29770770,"IB003toIB004"
36856,4,24289102,24374784,"area.over.water_dry_12_fisherPclump",1.00699715106103e-08,7.99697175812585,"area.over.water",12,"dry",24331943,"IB003toIB004"
36905,4,30111993,30122545,"area.over.water_dry_12_fisherPclump",1.45914992827836e-08,7.83590008187031,"area.over.water",12,"dry",30117269,"IB003toIB004"
36958,4,25428568,25747048,"area.over.water_dry_12_fisherPclump",2.55663653241494e-06,5.59233100962976,"area.over.water",12,"dry",25587808,"IB003toIB004"
36978,4,19733493,20108477,"area.over.water_dry_12_fisherPclump",3.19038376427611e-07,6.4961570734685,"area.over.water",12,"dry",19920985,"IB003toIB004"
37163,4,9684068,9923908,"area.over.water_dry_12_fisherPclump",2.12053724323034e-06,5.67355409557523,"area.over.water",12,"dry",9803988,"IB003toIB004"
37711,4,20811446,20811446,"area.over.water_dry_12_fisherPclump",7.09784790917276e-07,6.14887331083721,"area.over.water",12,"dry",20811446,"IB003toIB004"
37752,4,23381042,23400327,"area.over.water_dry_12_fisherPclump",5.63673928234408e-07,6.24897205225766,"area.over.water",12,"dry",23390684,"IB003toIB004"
37753,4,23733074,23733074,"area.over.water_dry_12_fisherPclump",5.63673928234408e-07,6.24897205225766,"area.over.water",12,"dry",23733074,"IB003toIB004"
37754,4,24026466,24026466,"area.over.water_dry_12_fisherPclump",5.63673928234408e-07,6.24897205225766,"area.over.water",12,"dry",24026466,"IB003toIB004"
37811,4,25854527,25854527,"area.over.water_dry_12_fisherPclump",4.68562844109787e-06,5.32923215286639,"area.over.water",12,"dry",25854527,"IB003toIB004"
37917,4,11940047,11980565,"area.over.water_dry_12_fisherPclump",7.94810477275721e-06,5.09973641660872,"area.over.water",12,"dry",11960306,"IB003toIB004"
37991,4,17872019,17872019,"area.over.water_dry_12_fisherPclump",2.41455891277346e-06,5.61716219379219,"area.over.water",12,"dry",17872019,"IB003toIB004"
38171,4,17398633,17398633,"area.over.water_dry_12_fisherPclump",7.78578921929508e-06,5.10869735789196,"area.over.water",12,"dry",17398633,"IB003toIB004"
38341,4,13393622,13585268,"area.over.water_dry_12_fisherPclump",3.01438875452513e-06,5.52080073906264,"area.over.water",12,"dry",13489445,"IB003toIB004"
38346,4,14754629,15129000,"area.over.water_dry_12_fisherPclump",9.61005733485636e-06,5.01727402126616,"area.over.water",12,"dry",14941814,"IB003toIB004"
38370,4,24948352,25128696,"area.over.water_dry_12_fisherPclump",1.15223109905016e-06,5.9384604072178,"area.over.water",12,"dry",25038524,"IB003toIB004"
38464,4,16428189,16711479,"area.over.water_dry_12_fisherPclump",1.68801345011944e-06,5.77262409723087,"area.over.water",12,"dry",16569834,"IB003toIB004"
38967,4,12702701,13002032,"area.over.water_dry_12_fisherPclump",5.69602200678845e-06,5.24442834145541,"area.over.water",12,"dry",12852366,"IB003toIB004"
39079,4,26814733,26993777,"area.over.water_dry_12_fisherPclump",8.15374443009988e-06,5.08864290514003,"area.over.water",12,"dry",26904255,"IB003toIB004"
39144,4,12555313,12555313,"area.over.water_dry_12_fisherPclump",1.27016227761005e-06,5.89614078946269,"area.over.water",12,"dry",12555313,"IB003toIB004"
67535,7,32663647,32942839,"area.over.water_dry_12_fisherPclump",1.1927725267413e-06,5.92344237259167,"area.over.water",12,"dry",32803243,"IB003toIB004"
69427,7,32652409,32970976,"area.over.water_dry_12_fisherPclump",3.84332148541061e-07,6.41529328623556,"area.over.water",12,"dry",32811692,"IB003toIB004"
27818,3,38827467,38827984,"area.over.water_dry.over.wet_12_fisherPclump",7.60384140655545e-07,6.11896694979924,"area.over.water",12,"dry.over.wet",38827726,"IB003toIB004"
54665,6,5836084,5836104,"area.over.water_dry.over.wet_12_fisherPclump",9.64707052833901e-06,5.01560454639991,"area.over.water",12,"dry.over.wet",5836094,"IB003toIB004"
87486,9,32197604,32461480,"area.over.water_dry.over.wet_12_fisherPclump",8.80679427617552e-06,5.05518214851488,"area.over.water",12,"dry.over.wet",32329542,"IB003toIB004"
90314,9,31562468,31598430,"area.over.water_dry.over.wet_12_fisherPclump",8.5877462395788e-07,6.06612079706985,"area.over.water",12,"dry.over.wet",31580449,"IB003toIB004"
91182,9,31566141,31599052,"area.over.water_dry.over.wet_12_fisherPclump",5.95073010289859e-06,5.22542974684156,"area.over.water",12,"dry.over.wet",31582596,"IB003toIB004"
92369,9,21085676,21380832,"area.over.water_dry.over.wet_12_fisherPclump",7.26359567465929e-06,5.13884833865431,"area.over.water",12,"dry.over.wet",21233254,"IB003toIB004"
96108,9,31598331,31598331,"area.over.water_dry.over.wet_12_fisherPclump",5.67249948386774e-06,5.24622553495883,"area.over.water",12,"dry.over.wet",31598331,"IB003toIB004"
10349,2,4148379,4150063,"area.over.water_wet_12_fisherPclump",4.9273349425751e-07,6.30738791493882,"area.over.water",12,"wet",4149221,"IB003toIB004"
10764,2,4149890,4149920,"area.over.water_wet_12_fisherPclump",6.05572495233498e-06,5.21783385847427,"area.over.water",12,"wet",4149905,"IB003toIB004"
12895,2,45604103,45606712,"area.over.water_wet_12_fisherPclump",7.67971545736142e-07,6.11465487080014,"area.over.water",12,"wet",45605408,"IB003toIB004"
34605,4,7332982,7332982,"area.over.water_wet_12_fisherPclump",8.79253949599347e-06,5.05588567216047,"area.over.water",12,"wet",7332982,"IB003toIB004"
55030,6,33747109,33757233,"area.over.water_wet_12_fisherPclump",5.73909263458525e-06,5.24115676525748,"area.over.water",12,"wet",33752171,"IB003toIB004"
64503,7,1240229,1302223,"area.over.water_wet_12_fisherPclump",6.93361934421353e-06,5.15904000479751,"area.over.water",12,"wet",1271226,"IB003toIB004"
16602,2,32499920,32583999,"area.over.water_dry_13_fisherPclump",1.93465813149895e-06,5.71339576693488,"area.over.water",13,"dry",32541960,"IB003toIB004"
18008,2,30965209,31111524,"area.over.water_dry_13_fisherPclump",1.91237211525012e-06,5.71842759748058,"area.over.water",13,"dry",31038366,"IB003toIB004"
24238,3,3912803,3912803,"area.over.water_dry_13_fisherPclump",4.42512292721646e-06,5.35407466036271,"area.over.water",13,"dry",3912803,"IB003toIB004"
34648,4,1444262,1467133,"area.over.water_dry_13_fisherPclump",4.84425720111531e-06,5.31477280647454,"area.over.water",13,"dry",1455698,"IB003toIB004"
35686,4,2449720,2519890,"area.over.water_dry_13_fisherPclump",4.69369941882386e-07,6.32848472575701,"area.over.water",13,"dry",2484805,"IB003toIB004"
36516,4,29721085,29820455,"area.over.water_dry_13_fisherPclump",1.8556576028384e-06,5.73150215468821,"area.over.water",13,"dry",29770770,"IB003toIB004"
59560,6,28596576,28847294,"area.over.water_dry_13_fisherPclump",4.29243645418988e-06,5.36729612547374,"area.over.water",13,"dry",28721935,"IB003toIB004"
1294,1,36199790,36199852,"area.over.water_dry.over.wet_13_fisherPclump",9.49375241512757e-06,5.02256209831241,"area.over.water",13,"dry.over.wet",36199821,"IB003toIB004"
1743,1,35528850,35530307,"area.over.water_dry.over.wet_13_fisherPclump",1.04549462730213e-06,5.98067819463879,"area.over.water",13,"dry.over.wet",35529578,"IB003toIB004"
27214,3,26465108,26469763,"area.over.water_dry.over.wet_13_fisherPclump",4.11288283758064e-06,5.38585366192699,"area.over.water",13,"dry.over.wet",26467436,"IB003toIB004"
33149,3,3791778,3791778,"area.over.water_dry.over.wet_13_fisherPclump",3.03125390153355e-06,5.51837768507192,"area.over.water",13,"dry.over.wet",3791778,"IB003toIB004"
34593,4,32785069,32785401,"area.over.water_dry.over.wet_13_fisherPclump",6.75069370451682e-06,5.17065159656694,"area.over.water",13,"dry.over.wet",32785235,"IB003toIB004"
39444,4,36775359,36777563,"area.over.water_dry.over.wet_13_fisherPclump",9.28117088706689e-06,5.03239723092396,"area.over.water",13,"dry.over.wet",36776461,"IB003toIB004"
86784,9,41741891,41741932,"area.over.water_dry.over.wet_13_fisherPclump",1.94038506833157e-06,5.71211207601987,"area.over.water",13,"dry.over.wet",41741912,"IB003toIB004"
90736,9,41744674,41744703,"area.over.water_dry.over.wet_13_fisherPclump",2.05569415867594e-07,6.68704149817851,"area.over.water",13,"dry.over.wet",41744688,"IB003toIB004"
94899,9,41475251,41697697,"area.over.water_dry.over.wet_13_fisherPclump",4.31788107539266e-06,5.36472932332925,"area.over.water",13,"dry.over.wet",41586474,"IB003toIB004"
10349,2,4148379,4150063,"area.over.water_wet_13_fisherPclump",2.21404369912209e-06,5.65481381159628,"area.over.water",13,"wet",4149221,"IB003toIB004"
34605,4,7332982,7332982,"area.over.water_wet_13_fisherPclump",4.82287580819381e-07,6.31669392126505,"area.over.water",13,"wet",7332982,"IB003toIB004"
34648,4,1444262,1467133,"area.over.water_wet_13_fisherPclump",1.14835716374912e-06,5.93992301601388,"area.over.water",13,"wet",1455698,"IB003toIB004"
73413,8,36674872,37018841,"area.over.water_wet_13_fisherPclump",4.03725498746387e-06,5.39391382028219,"area.over.water",13,"wet",36846856,"IB003toIB004"
73442,8,36147524,36523365,"area.over.water_wet_13_fisherPclump",9.09698809794628e-06,5.04110237349849,"area.over.water",13,"wet",36335444,"IB003toIB004"
73553,8,36343004,36655919,"area.over.water_wet_13_fisherPclump",8.47492437911419e-06,5.07186416827296,"area.over.water",13,"wet",36499462,"IB003toIB004"
10357,2,848148,1079795,"area.over.water_dry_14_fisherPclump",7.72762855316863e-06,5.11195376148725,"area.over.water",14,"dry",963972,"IB003toIB004"
10379,2,750569,1159226,"area.over.water_dry_14_fisherPclump",9.31078885162923e-07,6.03101352209104,"area.over.water",14,"dry",954898,"IB003toIB004"
11610,2,800629,902617,"area.over.water_dry_14_fisherPclump",5.42502814317328e-06,5.26559800450374,"area.over.water",14,"dry",851623,"IB003toIB004"
11892,2,761552,768744,"area.over.water_dry_14_fisherPclump",4.0692379677866e-06,5.39048691199615,"area.over.water",14,"dry",765148,"IB003toIB004"
16928,2,762341,867467,"area.over.water_dry_14_fisherPclump",3.72656361641255e-06,5.42869146050079,"area.over.water",14,"dry",814904,"IB003toIB004"
17082,2,765461,819579,"area.over.water_dry_14_fisherPclump",5.04498770832746e-06,5.29713988754641,"area.over.water",14,"dry",792520,"IB003toIB004"
19421,2,762230,819578,"area.over.water_dry_14_fisherPclump",2.9968708513046e-06,5.52333197236109,"area.over.water",14,"dry",790904,"IB003toIB004"
23204,3,16382949,16592487,"area.over.water_dry_14_fisherPclump",2.97269758372039e-06,5.52684926987405,"area.over.water",14,"dry",16487718,"IB003toIB004"
46538,5,36609754,37043287,"area.over.water_dry_14_fisherPclump",5.28811249817652e-06,5.27669931433603,"area.over.water",14,"dry",36826520,"IB003toIB004"
47233,5,36524625,37013875,"area.over.water_dry_14_fisherPclump",4.1965285176702e-06,5.37710982127607,"area.over.water",14,"dry",36769250,"IB003toIB004"
12505,2,10797843,11222574,"area.over.water_dry.over.wet_14_fisherPclump",1.56461023595659e-06,5.80559383284947,"area.over.water",14,"dry.over.wet",11010208,"IB003toIB004"
13911,2,10941301,11116716,"area.over.water_dry.over.wet_14_fisherPclump",6.81197609617167e-06,5.16672688468462,"area.over.water",14,"dry.over.wet",11029008,"IB003toIB004"
13979,2,11046992,11316600,"area.over.water_dry.over.wet_14_fisherPclump",7.36724980932372e-06,5.13269460380177,"area.over.water",14,"dry.over.wet",11181796,"IB003toIB004"
14443,2,10965760,11068306,"area.over.water_dry.over.wet_14_fisherPclump",2.53657603716622e-06,5.59575211460944,"area.over.water",14,"dry.over.wet",11017033,"IB003toIB004"
18305,2,9804293,9804293,"area.over.water_dry.over.wet_14_fisherPclump",8.0995198884815e-06,5.09154072383282,"area.over.water",14,"dry.over.wet",9804293,"IB003toIB004"
65733,7,33025503,33027030,"area.over.water_dry.over.wet_14_fisherPclump",8.97793154943476e-06,5.04682371011905,"area.over.water",14,"dry.over.wet",33026266,"IB003toIB004"
67899,7,14022415,14022415,"area.over.water_dry.over.wet_14_fisherPclump",8.9317881734316e-06,5.04906158522002,"area.over.water",14,"dry.over.wet",14022415,"IB003toIB004"
89188,9,53415069,53415069,"area.over.water_dry.over.wet_14_fisherPclump",1.05867576919589e-06,5.97523702687025,"area.over.water",14,"dry.over.wet",53415069,"IB003toIB004"
10324,2,25399657,25519075,"area.over.water_wet_14_fisherPclump",5.56948287756507e-06,5.25418512688118,"area.over.water",14,"wet",25459366,"IB003toIB004"
10349,2,4148379,4150063,"area.over.water_wet_14_fisherPclump",3.3102966501352e-08,7.48013308545572,"area.over.water",14,"wet",4149221,"IB003toIB004"
10436,2,25737863,26218246,"area.over.water_wet_14_fisherPclump",9.55871254112388e-07,6.01960059872168,"area.over.water",14,"wet",25978054,"IB003toIB004"
10764,2,4149890,4149920,"area.over.water_wet_14_fisherPclump",3.8919303033749e-07,6.40983494567263,"area.over.water",14,"wet",4149905,"IB003toIB004"
10833,2,4149351,4149351,"area.over.water_wet_14_fisherPclump",1.2767721324459e-06,5.89388660504805,"area.over.water",14,"wet",4149351,"IB003toIB004"
11607,2,4148177,4148202,"area.over.water_wet_14_fisherPclump",2.15139820289152e-06,5.6672791984861,"area.over.water",14,"wet",4148190,"IB003toIB004"
34552,4,1316329,1444060,"area.over.water_wet_14_fisherPclump",8.19920240474049e-06,5.08622839250256,"area.over.water",14,"wet",1380194,"IB003toIB004"
34686,4,1130339,1132772,"area.over.water_wet_14_fisherPclump",3.74377418605283e-06,5.42669035456769,"area.over.water",14,"wet",1131556,"IB003toIB004"
34706,4,1065920,1067832,"area.over.water_wet_14_fisherPclump",6.99979806944476e-07,6.15491448835586,"area.over.water",14,"wet",1066876,"IB003toIB004"
34736,4,922543,1131456,"area.over.water_wet_14_fisherPclump",7.72702489294516e-07,6.11198768865425,"area.over.water",14,"wet",1027000,"IB003toIB004"
34955,4,925762,1090379,"area.over.water_wet_14_fisherPclump",2.00145622247089e-06,5.69865390470814,"area.over.water",14,"wet",1008070,"IB003toIB004"
34981,4,2539539,2549064,"area.over.water_wet_14_fisherPclump",8.72013888568745e-06,5.05947659800237,"area.over.water",14,"wet",2544302,"IB003toIB004"
35137,4,897605,1061936,"area.over.water_wet_14_fisherPclump",1.10937551816377e-06,5.95492142241581,"area.over.water",14,"wet",979770,"IB003toIB004"
36960,4,30812090,31060963,"area.over.water_wet_14_fisherPclump",5.56918777771188e-07,6.25420813864656,"area.over.water",14,"wet",30936526,"IB003toIB004"
38905,4,780462,1017309,"area.over.water_wet_14_fisherPclump",6.30894760060171e-06,5.20004307964173,"area.over.water",14,"wet",898886,"IB003toIB004"
44821,5,13776460,13811804,"area.over.water_wet_14_fisherPclump",4.03272950008277e-06,5.39440090781169,"area.over.water",14,"wet",13794132,"IB003toIB004"
45885,5,18851854,18851854,"area.over.water_wet_14_fisherPclump",9.94941460704137e-06,5.00220247105434,"area.over.water",14,"wet",18851854,"IB003toIB004"
47882,5,45822074,45822074,"area.over.water_wet_14_fisherPclump",5.9904355153147e-06,5.22254160248175,"area.over.water",14,"wet",45822074,"IB003toIB004"
49702,5,3846241,4007535,"area.over.water_wet_14_fisherPclump",4.92900983457595e-06,5.30724031532107,"area.over.water",14,"wet",3926888,"IB003toIB004"
51337,5,45685341,45685341,"area.over.water_wet_14_fisherPclump",9.38089276382032e-06,5.02775582857714,"area.over.water",14,"wet",45685341,"IB003toIB004"
64097,7,30373948,30381978,"area.over.water_wet_14_fisherPclump",6.68016508466483e-07,6.1752128048189,"area.over.water",14,"wet",30377963,"IB003toIB004"
64121,7,30217453,30241705,"area.over.water_wet_14_fisherPclump",1.46242987979206e-06,5.83492494818557,"area.over.water",14,"wet",30229579,"IB003toIB004"
64150,7,30373945,30493241,"area.over.water_wet_14_fisherPclump",6.80733969188776e-06,5.16702257720038,"area.over.water",14,"wet",30433593,"IB003toIB004"
64408,7,16625190,16640464,"area.over.water_wet_14_fisherPclump",2.53023531331048e-06,5.5968390873143,"area.over.water",14,"wet",16632827,"IB003toIB004"
65223,7,16627016,16631898,"area.over.water_wet_14_fisherPclump",5.26088544646508e-06,5.27894115467685,"area.over.water",14,"wet",16629457,"IB003toIB004"
86,1,522889,744218,"area.over.water_dry_15_fisherPclump",1.81602105830396e-06,5.74087911977298,"area.over.water",15,"dry",633554,"IB003toIB004"
193,1,453108,453485,"area.over.water_dry_15_fisherPclump",7.22509684478379e-06,5.14115632727407,"area.over.water",15,"dry",453296,"IB003toIB004"
10349,2,4148379,4150063,"area.over.water_dry_15_fisherPclump",6.57106756847587e-07,6.18236406705612,"area.over.water",15,"dry",4149221,"IB003toIB004"
10764,2,4149890,4149920,"area.over.water_dry_15_fisherPclump",3.78266487819053e-06,5.42220213293393,"area.over.water",15,"dry",4149905,"IB003toIB004"
10833,2,4149351,4149351,"area.over.water_dry_15_fisherPclump",9.41223366760788e-06,5.02630729959068,"area.over.water",15,"dry",4149351,"IB003toIB004"
15978,2,1191883,1250532,"area.over.water_dry_15_fisherPclump",5.45388357995236e-06,5.26329413686082,"area.over.water",15,"dry",1221208,"IB003toIB004"
44954,5,3493033,3849922,"area.over.water_dry_15_fisherPclump",2.69334718275849e-06,5.56970766075939,"area.over.water",15,"dry",3671478,"IB003toIB004"
10271,2,125954,239483,"area.over.water_dry.over.wet_15_fisherPclump",4.73240886104173e-06,5.32491774113126,"area.over.water",15,"dry.over.wet",182718,"IB003toIB004"
10315,2,126816,126816,"area.over.water_dry.over.wet_15_fisherPclump",2.40589202032951e-06,5.61872386827938,"area.over.water",15,"dry.over.wet",126816,"IB003toIB004"
