"clump","chrom","minBP","maxBP","variable","value","fisherLogP","Phenotype","DAP","Treatment","Experiment","clumpCenter"
23446,4,4023352,4209928,"area.over.water_wet_13_fisherPclump",8.28442360050715e-10,9.08173770279411,"area.over.water",13,"wet","IB005toIB008",4116640
23701,4,4197042,4209031,"area.over.water_wet_13_fisherPclump",5.74104275242734e-08,7.24100921901391,"area.over.water",13,"wet","IB005toIB008",4203036
8608,2,3992421,3992444,"area.over.water_dry_14_fisherPclump",4.03911973154026e-10,9.39371327285711,"area.over.water",14,"dry","IB005toIB008",3992432
50062,8,12588817,13073565,"area.over.water_dry_14_fisherPclump",9.11012746823235e-08,7.0404755463681,"area.over.water",14,"dry","IB005toIB008",12831191
51238,8,37370225,37370282,"area.over.water_dry_14_fisherPclump",6.73625871745138e-08,7.17158124137126,"area.over.water",14,"dry","IB005toIB008",37370254
51620,8,37212210,37521730,"area.over.water_dry_14_fisherPclump",2.37170641758544e-08,7.6249390712579,"area.over.water",14,"dry","IB005toIB008",37366970
39,1,14188681,14374252,"area.over.water_wet_14_fisherPclump",5.04841840218481e-09,8.29684465886891,"area.over.water",14,"wet","IB005toIB008",14281466
8608,2,3992421,3992444,"area.over.water_wet_14_fisherPclump",1.71908280067583e-09,8.76470320474949,"area.over.water",14,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"area.over.water_wet_14_fisherPclump",8.99152708474465e-10,9.04616654317702,"area.over.water",14,"wet","IB005toIB008",13248984
23322,4,3413112,3510543,"area.over.water_wet_14_fisherPclump",1.4025001380832e-08,7.85309708731332,"area.over.water",14,"wet","IB005toIB008",3461828
23336,4,3462114,3462471,"area.over.water_wet_14_fisherPclump",5.67326595413055e-09,8.24616685688938,"area.over.water",14,"wet","IB005toIB008",3462292
23355,4,3441302,3537478,"area.over.water_wet_14_fisherPclump",8.93293124145998e-08,7.04900600884892,"area.over.water",14,"wet","IB005toIB008",3489390
23426,4,3514956,3514956,"area.over.water_wet_14_fisherPclump",3.37876458099994e-08,7.47124206709887,"area.over.water",14,"wet","IB005toIB008",3514956
23542,4,3139845,3140237,"area.over.water_wet_14_fisherPclump",4.3965766569256e-08,7.35688535025761,"area.over.water",14,"wet","IB005toIB008",3140041
23623,4,3140701,3142657,"area.over.water_wet_14_fisherPclump",1.04537744859659e-08,7.98072687295426,"area.over.water",14,"wet","IB005toIB008",3141679
24383,4,3353409,3382927,"area.over.water_wet_14_fisherPclump",8.94090632531264e-08,7.04861845523859,"area.over.water",14,"wet","IB005toIB008",3368168
8608,2,3992421,3992444,"area.over.water_dry_15_fisherPclump",2.32534868500993e-09,8.63351191562496,"area.over.water",15,"dry","IB005toIB008",3992432
51620,8,37212210,37521730,"area.over.water_dry_15_fisherPclump",1.67040208137438e-08,7.77717897753269,"area.over.water",15,"dry","IB005toIB008",37366970
39,1,14188681,14374252,"area.over.water_wet_15_fisherPclump",3.00658316703309e-10,9.521926778353,"area.over.water",15,"wet","IB005toIB008",14281466
7376,2,2757620,2805421,"area.over.water_wet_15_fisherPclump",7.89227949485263e-08,7.10279754317113,"area.over.water",15,"wet","IB005toIB008",2781520
8608,2,3992421,3992444,"area.over.water_wet_15_fisherPclump",4.29372838133255e-10,9.3671654322378,"area.over.water",15,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"area.over.water_wet_15_fisherPclump",1.3904866156212e-10,9.85683318715929,"area.over.water",15,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"area.over.water_wet_15_fisherPclump",5.30935271149727e-10,9.27495842260218,"area.over.water",15,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"area.over.water_wet_15_fisherPclump",8.08131442155517e-10,9.09251799571033,"area.over.water",15,"wet","IB005toIB008",3461828
23336,4,3462114,3462471,"area.over.water_wet_15_fisherPclump",4.05177343609681e-09,8.39235484717254,"area.over.water",15,"wet","IB005toIB008",3462292
23355,4,3441302,3537478,"area.over.water_wet_15_fisherPclump",6.21817012498339e-08,7.20633740012319,"area.over.water",15,"wet","IB005toIB008",3489390
23426,4,3514956,3514956,"area.over.water_wet_15_fisherPclump",2.77133886459459e-08,7.55731036774871,"area.over.water",15,"wet","IB005toIB008",3514956
23446,4,4023352,4209928,"area.over.water_wet_15_fisherPclump",1.72418860564596e-08,7.76341522928212,"area.over.water",15,"wet","IB005toIB008",4116640
23542,4,3139845,3140237,"area.over.water_wet_15_fisherPclump",5.54689451510604e-08,7.25595009298956,"area.over.water",15,"wet","IB005toIB008",3140041
23623,4,3140701,3142657,"area.over.water_wet_15_fisherPclump",1.06813927970606e-08,7.97137211391427,"area.over.water",15,"wet","IB005toIB008",3141679
24279,4,3540662,3542197,"area.over.water_wet_15_fisherPclump",5.74867482580065e-08,7.24043225655744,"area.over.water",15,"wet","IB005toIB008",3541430
8608,2,3992421,3992444,"area.over.water_dry_16_fisherPclump",9.31818406213215e-11,10.0306687151822,"area.over.water",16,"dry","IB005toIB008",3992432
8,1,5561476,5961312,"area.over.water_wet_16_fisherPclump",6.06809858245491e-08,7.21694737227087,"area.over.water",16,"wet","IB005toIB008",5761394
39,1,14188681,14374252,"area.over.water_wet_16_fisherPclump",2.4217181227927e-09,8.61587640819539,"area.over.water",16,"wet","IB005toIB008",14281466
7376,2,2757620,2805421,"area.over.water_wet_16_fisherPclump",5.23027984980762e-08,7.28147507327887,"area.over.water",16,"wet","IB005toIB008",2781520
8608,2,3992421,3992444,"area.over.water_wet_16_fisherPclump",4.32761091987275e-09,8.36375179202072,"area.over.water",16,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"area.over.water_wet_16_fisherPclump",4.88968005507898e-10,9.31071955700308,"area.over.water",16,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"area.over.water_wet_16_fisherPclump",1.66404275602247e-10,9.77883551911136,"area.over.water",16,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"area.over.water_wet_16_fisherPclump",8.39216581527764e-09,8.07612594379106,"area.over.water",16,"wet","IB005toIB008",3461828
23323,4,3476133,3761714,"area.over.water_wet_16_fisherPclump",8.77851524729173e-08,7.05657893220732,"area.over.water",16,"wet","IB005toIB008",3618924
23325,4,3775716,3776438,"area.over.water_wet_16_fisherPclump",1.17588371174804e-08,7.92963562540554,"area.over.water",16,"wet","IB005toIB008",3776077
23336,4,3462114,3462471,"area.over.water_wet_16_fisherPclump",2.74153089093921e-09,8.56200685622265,"area.over.water",16,"wet","IB005toIB008",3462292
23355,4,3441302,3537478,"area.over.water_wet_16_fisherPclump",3.5931941617543e-08,7.44451931463498,"area.over.water",16,"wet","IB005toIB008",3489390
23426,4,3514956,3514956,"area.over.water_wet_16_fisherPclump",9.04614185467092e-08,7.04353660626313,"area.over.water",16,"wet","IB005toIB008",3514956
23446,4,4023352,4209928,"area.over.water_wet_16_fisherPclump",7.59820399827015e-08,7.11928905058997,"area.over.water",16,"wet","IB005toIB008",4116640
23522,4,3561978,3825620,"area.over.water_wet_16_fisherPclump",3.3546143024207e-08,7.47435740573628,"area.over.water",16,"wet","IB005toIB008",3693799
23542,4,3139845,3140237,"area.over.water_wet_16_fisherPclump",1.35785042407431e-08,7.86714806774101,"area.over.water",16,"wet","IB005toIB008",3140041
23623,4,3140701,3142657,"area.over.water_wet_16_fisherPclump",1.02900187905754e-09,8.98758383217287,"area.over.water",16,"wet","IB005toIB008",3141679
23965,4,3140759,3142872,"area.over.water_wet_16_fisherPclump",2.6682593447928e-08,7.57377196091046,"area.over.water",16,"wet","IB005toIB008",3141816
24383,4,3353409,3382927,"area.over.water_wet_16_fisherPclump",3.01424152710884e-08,7.52082195119591,"area.over.water",16,"wet","IB005toIB008",3368168
8,1,5561476,5961312,"area.over.water_wet_17_fisherPclump",9.99292424986423e-09,8.0003074046927,"area.over.water",17,"wet","IB005toIB008",5761394
39,1,14188681,14374252,"area.over.water_wet_17_fisherPclump",1.38163281854565e-08,7.85960735932595,"area.over.water",17,"wet","IB005toIB008",14281466
64,1,5778091,5778091,"area.over.water_wet_17_fisherPclump",2.48554294637298e-08,7.60457872851707,"area.over.water",17,"wet","IB005toIB008",5778091
7258,2,5141527,5147243,"area.over.water_wet_17_fisherPclump",6.21850975608207e-08,7.20631367998028,"area.over.water",17,"wet","IB005toIB008",5144385
8882,2,13248984,13248984,"area.over.water_wet_17_fisherPclump",1.28264280210682e-08,7.89189427166294,"area.over.water",17,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"area.over.water_wet_17_fisherPclump",5.48960049923824e-10,9.26045925979205,"area.over.water",17,"wet","IB005toIB008",3823270
23325,4,3775716,3776438,"area.over.water_wet_17_fisherPclump",7.8886993877636e-08,7.1029945931503,"area.over.water",17,"wet","IB005toIB008",3776077
23336,4,3462114,3462471,"area.over.water_wet_17_fisherPclump",1.53811703378958e-08,7.81301061824378,"area.over.water",17,"wet","IB005toIB008",3462292
28794,5,43311911,43743683,"area.over.water_wet_17_fisherPclump",1.35522536875166e-08,7.86798847728658,"area.over.water",17,"wet","IB005toIB008",43527797
43220,7,14475814,14475814,"area.over.water_wet_17_fisherPclump",7.49318695018603e-08,7.12533343189925,"area.over.water",17,"wet","IB005toIB008",14475814
8608,2,3992421,3992444,"area.over.water_dry_18_fisherPclump",2.52731742187551e-08,7.59734020884716,"area.over.water",18,"dry","IB005toIB008",3992432
37391,6,25412314,25512732,"area.over.water_dry_18_fisherPclump",2.20365341573355e-08,7.65685670903553,"area.over.water",18,"dry","IB005toIB008",25462523
39,1,14188681,14374252,"area.over.water_wet_18_fisherPclump",1.60231994163572e-08,7.79525076227565,"area.over.water",18,"wet","IB005toIB008",14281466
7295,2,2758017,2810612,"area.over.water_wet_18_fisherPclump",1.40636641343356e-08,7.85190151388197,"area.over.water",18,"wet","IB005toIB008",2784314
8882,2,13248984,13248984,"area.over.water_wet_18_fisherPclump",9.79162903012773e-10,9.00914504875452,"area.over.water",18,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"area.over.water_wet_18_fisherPclump",2.59583624508873e-12,11.5857227079031,"area.over.water",18,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"area.over.water_wet_18_fisherPclump",3.16379743941529e-09,8.49979132977622,"area.over.water",18,"wet","IB005toIB008",3461828
23323,4,3476133,3761714,"area.over.water_wet_18_fisherPclump",8.17423563036569e-09,8.08755284747925,"area.over.water",18,"wet","IB005toIB008",3618924
23324,4,3760561,4008576,"area.over.water_wet_18_fisherPclump",7.81359500151203e-09,8.10714910311466,"area.over.water",18,"wet","IB005toIB008",3884568
23325,4,3775716,3776438,"area.over.water_wet_18_fisherPclump",3.82969692725409e-09,8.41683559366302,"area.over.water",18,"wet","IB005toIB008",3776077
23326,4,4017579,4264203,"area.over.water_wet_18_fisherPclump",8.53598255984533e-08,7.06874648090442,"area.over.water",18,"wet","IB005toIB008",4140891
23336,4,3462114,3462471,"area.over.water_wet_18_fisherPclump",1.04802439493313e-09,8.97962860813327,"area.over.water",18,"wet","IB005toIB008",3462292
23343,4,4182544,4272771,"area.over.water_wet_18_fisherPclump",7.25257962934225e-08,7.13950749418416,"area.over.water",18,"wet","IB005toIB008",4227658
23347,4,4257411,4290160,"area.over.water_wet_18_fisherPclump",2.17728421898652e-09,8.66208487519379,"area.over.water",18,"wet","IB005toIB008",4273786
23355,4,3441302,3537478,"area.over.water_wet_18_fisherPclump",3.4605435598906e-08,7.46085567966956,"area.over.water",18,"wet","IB005toIB008",3489390
23360,4,4134255,4552961,"area.over.water_wet_18_fisherPclump",7.85470861214297e-09,8.10486992144332,"area.over.water",18,"wet","IB005toIB008",4343608
23375,4,4407939,4408084,"area.over.water_wet_18_fisherPclump",4.52319975841033e-08,7.34455423205076,"area.over.water",18,"wet","IB005toIB008",4408012
23446,4,4023352,4209928,"area.over.water_wet_18_fisherPclump",6.70795601017115e-09,8.17340979409854,"area.over.water",18,"wet","IB005toIB008",4116640
23460,4,4252870,4294411,"area.over.water_wet_18_fisherPclump",6.02731856386586e-08,7.21987585401527,"area.over.water",18,"wet","IB005toIB008",4273640
23474,4,3670989,3738700,"area.over.water_wet_18_fisherPclump",2.60541125342231e-08,7.58412371536054,"area.over.water",18,"wet","IB005toIB008",3704844
23510,4,4272670,4274746,"area.over.water_wet_18_fisherPclump",7.46820052014814e-10,9.12678402981981,"area.over.water",18,"wet","IB005toIB008",4273708
23522,4,3561978,3825620,"area.over.water_wet_18_fisherPclump",7.04121374518619e-08,7.15235247190871,"area.over.water",18,"wet","IB005toIB008",3693799
23542,4,3139845,3140237,"area.over.water_wet_18_fisherPclump",7.21467666672118e-08,7.14178312749569,"area.over.water",18,"wet","IB005toIB008",3140041
23623,4,3140701,3142657,"area.over.water_wet_18_fisherPclump",6.13524965283393e-09,8.21216776046066,"area.over.water",18,"wet","IB005toIB008",3141679
23722,4,3667554,3740653,"area.over.water_wet_18_fisherPclump",9.51375138550327e-08,7.02164820180353,"area.over.water",18,"wet","IB005toIB008",3704104
23965,4,3140759,3142872,"area.over.water_wet_18_fisherPclump",3.43879282894728e-08,7.46359398758455,"area.over.water",18,"wet","IB005toIB008",3141816
28794,5,43311911,43743683,"area.over.water_wet_18_fisherPclump",9.72717531139103e-09,8.01201325683104,"area.over.water",18,"wet","IB005toIB008",43527797
36448,6,32970617,33318274,"area.over.water_wet_18_fisherPclump",2.60904301430331e-08,7.58351876079224,"area.over.water",18,"wet","IB005toIB008",33144446
43220,7,14475814,14475814,"area.over.water_wet_18_fisherPclump",2.65532897577056e-08,7.57588166535048,"area.over.water",18,"wet","IB005toIB008",14475814
770,1,36190139,36429325,"area.over.water_dry_19_fisherPclump",7.83497514015732e-08,7.10596237718003,"area.over.water",19,"dry","IB005toIB008",36309732
37391,6,25412314,25512732,"area.over.water_dry_19_fisherPclump",6.06448930949348e-08,7.21720576518606,"area.over.water",19,"dry","IB005toIB008",25462523
39,1,14188681,14374252,"area.over.water_wet_19_fisherPclump",1.68177043084671e-08,7.7742332876231,"area.over.water",19,"wet","IB005toIB008",14281466
7295,2,2758017,2810612,"area.over.water_wet_19_fisherPclump",5.06398541222185e-08,7.29550755405719,"area.over.water",19,"wet","IB005toIB008",2784314
7376,2,2757620,2805421,"area.over.water_wet_19_fisherPclump",2.92129900223404e-09,8.53442398962878,"area.over.water",19,"wet","IB005toIB008",2781520
8882,2,13248984,13248984,"area.over.water_wet_19_fisherPclump",5.04236387277524e-08,7.29736581747822,"area.over.water",19,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"area.over.water_wet_19_fisherPclump",1.33236735828666e-10,9.87537601564585,"area.over.water",19,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"area.over.water_wet_19_fisherPclump",4.99745946365751e-09,8.30125071992746,"area.over.water",19,"wet","IB005toIB008",3461828
23325,4,3775716,3776438,"area.over.water_wet_19_fisherPclump",7.85137877572345e-08,7.10505407037469,"area.over.water",19,"wet","IB005toIB008",3776077
23336,4,3462114,3462471,"area.over.water_wet_19_fisherPclump",1.83172019561582e-08,7.7371408662472,"area.over.water",19,"wet","IB005toIB008",3462292
23347,4,4257411,4290160,"area.over.water_wet_19_fisherPclump",1.73920515736202e-08,7.75964918541823,"area.over.water",19,"wet","IB005toIB008",4273786
23355,4,3441302,3537478,"area.over.water_wet_19_fisherPclump",7.58869510559171e-08,7.11983289566732,"area.over.water",19,"wet","IB005toIB008",3489390
23510,4,4272670,4274746,"area.over.water_wet_19_fisherPclump",1.67146564238079e-08,7.77690254606979,"area.over.water",19,"wet","IB005toIB008",4273708
28794,5,43311911,43743683,"area.over.water_wet_19_fisherPclump",2.33549909442622e-09,8.63162029677088,"area.over.water",19,"wet","IB005toIB008",43527797
28863,5,43460836,43672806,"area.over.water_wet_19_fisherPclump",3.03781587820156e-08,7.51743855223238,"area.over.water",19,"wet","IB005toIB008",43566821
50018,8,8535490,8575296,"area.over.water_wet_19_fisherPclump",5.90962075545936e-08,7.22844038867814,"area.over.water",19,"wet","IB005toIB008",8555393
58612,9,31241226,31241251,"area.over.water_wet_19_fisherPclump",6.68036933740613e-08,7.17519952603294,"area.over.water",19,"wet","IB005toIB008",31241238
23321,4,3817036,3829503,"area.over.water_wet_20_fisherPclump",1.5405949654088e-09,8.81231152572624,"area.over.water",20,"wet","IB005toIB008",3823270
28794,5,43311911,43743683,"area.over.water_wet_20_fisherPclump",7.79229700280982e-09,8.1083345027127,"area.over.water",20,"wet","IB005toIB008",43527797
23321,4,3817036,3829503,"area.over.water_wet_21_fisherPclump",2.11373891268315e-09,8.67494865741817,"area.over.water",21,"wet","IB005toIB008",3823270
28794,5,43311911,43743683,"area.over.water_wet_21_fisherPclump",2.36485552625301e-09,8.62619538603299,"area.over.water",21,"wet","IB005toIB008",43527797
43035,7,15866698,15876840,"area.over.water_wet_21_fisherPclump",8.50625028831961e-08,7.07026184273217,"area.over.water",21,"wet","IB005toIB008",15871769
43534,7,15866944,15876527,"area.over.water_wet_21_fisherPclump",9.40379601234147e-08,7.02669680018463,"area.over.water",21,"wet","IB005toIB008",15871736
23321,4,3817036,3829503,"area.over.water_wet_22_fisherPclump",1.11107919666173e-08,7.95425498386081,"area.over.water",22,"wet","IB005toIB008",3823270
28794,5,43311911,43743683,"area.over.water_wet_22_fisherPclump",1.39920956685187e-08,7.8541172341063,"area.over.water",22,"wet","IB005toIB008",43527797
36393,6,32505244,32509381,"area.over.water_wet_22_fisherPclump",4.87729972061984e-08,7.31182055525287,"area.over.water",22,"wet","IB005toIB008",32507312
43534,7,15866944,15876527,"area.over.water_wet_22_fisherPclump",9.09424751555412e-08,7.04123322990037,"area.over.water",22,"wet","IB005toIB008",15871736
43093,7,19037457,19256504,"avg.sv.area_dry_10_fisherPclump",6.93213031804732e-08,7.15913328152118,"avg.sv.area",10,"dry","IB005toIB008",19146980
8608,2,3992421,3992444,"avg.sv.area_dry_11_fisherPclump",2.44383015528771e-08,7.61192898058353,"avg.sv.area",11,"dry","IB005toIB008",3992432
39,1,14188681,14374252,"avg.sv.area_wet_11_fisherPclump",5.0626821517734e-08,7.29561933788356,"avg.sv.area",11,"wet","IB005toIB008",14281466
8608,2,3992421,3992444,"avg.sv.area_wet_11_fisherPclump",5.31139202803097e-08,7.27479164259757,"avg.sv.area",11,"wet","IB005toIB008",3992432
28778,5,5897146,5928214,"avg.sv.area_wet_11_fisherPclump",1.20274692140423e-08,7.91982574606029,"avg.sv.area",11,"wet","IB005toIB008",5912680
8608,2,3992421,3992444,"avg.sv.area_dry_12_fisherPclump",2.26276090070222e-09,8.64536133424309,"avg.sv.area",12,"dry","IB005toIB008",3992432
39,1,14188681,14374252,"avg.sv.area_wet_12_fisherPclump",1.48815440600661e-08,7.82735200548525,"avg.sv.area",12,"wet","IB005toIB008",14281466
94,1,40417387,40502525,"avg.sv.area_wet_12_fisherPclump",2.50099022819684e-08,7.60188800513015,"avg.sv.area",12,"wet","IB005toIB008",40459956
8608,2,3992421,3992444,"avg.sv.area_wet_12_fisherPclump",5.28301764819697e-11,10.2771179385272,"avg.sv.area",12,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"avg.sv.area_wet_12_fisherPclump",5.07785886467426e-09,8.29431937418797,"avg.sv.area",12,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"avg.sv.area_wet_12_fisherPclump",9.96615886495165e-08,7.00147219426491,"avg.sv.area",12,"wet","IB005toIB008",3823270
23336,4,3462114,3462471,"avg.sv.area_wet_12_fisherPclump",5.66202402431541e-08,7.24702829222887,"avg.sv.area",12,"wet","IB005toIB008",3462292
23446,4,4023352,4209928,"avg.sv.area_wet_12_fisherPclump",1.19402474524909e-09,8.9229866726926,"avg.sv.area",12,"wet","IB005toIB008",4116640
23701,4,4197042,4209031,"avg.sv.area_wet_12_fisherPclump",6.70747785932709e-08,7.17344075221367,"avg.sv.area",12,"wet","IB005toIB008",4203036
8608,2,3992421,3992444,"avg.sv.area_dry_13_fisherPclump",8.02263143972226e-10,9.09568315885964,"avg.sv.area",13,"dry","IB005toIB008",3992432
50039,8,37464773,37555142,"avg.sv.area_dry_13_fisherPclump",1.78672321060397e-08,7.74794272081157,"avg.sv.area",13,"dry","IB005toIB008",37509958
51238,8,37370225,37370282,"avg.sv.area_dry_13_fisherPclump",6.7761456280729e-08,7.16901726903082,"avg.sv.area",13,"dry","IB005toIB008",37370254
51620,8,37212210,37521730,"avg.sv.area_dry_13_fisherPclump",5.30048768744555e-09,8.27568416997986,"avg.sv.area",13,"dry","IB005toIB008",37366970
94,1,40417387,40502525,"avg.sv.area_wet_13_fisherPclump",8.98858721085727e-08,7.04630856352208,"avg.sv.area",13,"wet","IB005toIB008",40459956
733,1,40941698,40946411,"avg.sv.area_wet_13_fisherPclump",8.15586643383317e-08,7.08852989514552,"avg.sv.area",13,"wet","IB005toIB008",40944054
1562,1,40909791,40936747,"avg.sv.area_wet_13_fisherPclump",4.90347723665325e-08,7.30949583647873,"avg.sv.area",13,"wet","IB005toIB008",40923269
8608,2,3992421,3992444,"avg.sv.area_wet_13_fisherPclump",2.00250667836784e-10,9.69842602686746,"avg.sv.area",13,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"avg.sv.area_wet_13_fisherPclump",1.79220303041079e-10,9.7466127926692,"avg.sv.area",13,"wet","IB005toIB008",13248984
13790,2,13248969,13248969,"avg.sv.area_wet_13_fisherPclump",8.57368501091811e-08,7.06683247610099,"avg.sv.area",13,"wet","IB005toIB008",13248969
23321,4,3817036,3829503,"avg.sv.area_wet_13_fisherPclump",2.46787585788234e-08,7.60767669050293,"avg.sv.area",13,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"avg.sv.area_wet_13_fisherPclump",5.85778888284458e-08,7.2322662845267,"avg.sv.area",13,"wet","IB005toIB008",3461828
23329,4,4365698,4387759,"avg.sv.area_wet_13_fisherPclump",7.09586173085936e-08,7.1489948557059,"avg.sv.area",13,"wet","IB005toIB008",4376728
23336,4,3462114,3462471,"avg.sv.area_wet_13_fisherPclump",3.73244084543413e-08,7.42800706657819,"avg.sv.area",13,"wet","IB005toIB008",3462292
23426,4,3514956,3514956,"avg.sv.area_wet_13_fisherPclump",2.7855529591858e-08,7.55508858027992,"avg.sv.area",13,"wet","IB005toIB008",3514956
23446,4,4023352,4209928,"avg.sv.area_wet_13_fisherPclump",9.55707668221276e-10,9.01967492936968,"avg.sv.area",13,"wet","IB005toIB008",4116640
23701,4,4197042,4209031,"avg.sv.area_wet_13_fisherPclump",7.8799551000976e-08,7.10347625710885,"avg.sv.area",13,"wet","IB005toIB008",4203036
8608,2,3992421,3992444,"avg.sv.area_dry_14_fisherPclump",5.65192033751667e-09,8.24780396805857,"avg.sv.area",14,"dry","IB005toIB008",3992432
51238,8,37370225,37370282,"avg.sv.area_dry_14_fisherPclump",1.10192632389299e-08,7.95784744196008,"avg.sv.area",14,"dry","IB005toIB008",37370254
51620,8,37212210,37521730,"avg.sv.area_dry_14_fisherPclump",4.32994882024585e-09,8.36351723695291,"avg.sv.area",14,"dry","IB005toIB008",37366970
94,1,40417387,40502525,"avg.sv.area_wet_14_fisherPclump",8.21270228431302e-08,7.08551392033883,"avg.sv.area",14,"wet","IB005toIB008",40459956
7227,2,178348,400138,"avg.sv.area_wet_14_fisherPclump",1.48089098398297e-08,7.82947691095702,"avg.sv.area",14,"wet","IB005toIB008",289243
8608,2,3992421,3992444,"avg.sv.area_wet_14_fisherPclump",7.32171860651576e-10,9.13538696624741,"avg.sv.area",14,"wet","IB005toIB008",3992432
8882,2,13248984,13248984,"avg.sv.area_wet_14_fisherPclump",3.83618669694438e-10,9.41610026503639,"avg.sv.area",14,"wet","IB005toIB008",13248984
23321,4,3817036,3829503,"avg.sv.area_wet_14_fisherPclump",7.70429601743041e-08,7.11326703893301,"avg.sv.area",14,"wet","IB005toIB008",3823270
23322,4,3413112,3510543,"avg.sv.area_wet_14_fisherPclump",1.24935376399236e-08,7.90331457043621,"avg.sv.area",14,"wet","IB005toIB008",3461828
23336,4,3462114,3462471,"avg.sv.area_wet_14_fisherPclump",8.94048669361247e-09,8.04863883885542,"avg.sv.area",14,"wet","IB005toIB008",3462292
23426,4,3514956,3514956,"avg.sv.area_wet_14_fisherPclump",2.65689003550321e-08,7.57562641998281,"avg.sv.area",14,"wet","IB005toIB008",3514956
8608,2,3992421,3992444,"avg.sv.area_dry_15_fisherPclump",8.87780417487023e-09,8.05169443880054,"avg.sv.area",15,"dry","IB005toIB008",3992432
51620,8,37212210,37521730,"avg.sv.area_dry_15_fisherPclump",4.53587929105521e-08,7.3433385114181,"avg.sv.area",15,"dry","IB005toIB008",37366970
